run_order,case_id,status,primary_detail,notes
347,parity_core_139_virtual_wins_required_v01,NO_FILE,,No XLSX file found in 347_parity_core_139_virtual_wins_required_v01/
348,parity_bnd_139_virtual_wins_required_v02,NO_FILE,,No XLSX file found in 348_parity_bnd_139_virtual_wins_required_v02/
349,parity_bnd_139_virtual_wins_required_v03,NO_FILE,,No XLSX file found in 349_parity_bnd_139_virtual_wins_required_v03/
350,parity_core_140_use_sl_in_virtual_v01,NO_FILE,,No XLSX file found in 350_parity_core_140_use_sl_in_virtual_v01/
351,parity_bnd_140_use_sl_in_virtual_v02,NO_FILE,,No XLSX file found in 351_parity_bnd_140_use_sl_in_virtual_v02/
352,parity_core_141_use_tp_in_virtual_v01,NO_FILE,,No XLSX file found in 352_parity_core_141_use_tp_in_virtual_v01/
353,parity_bnd_141_use_tp_in_virtual_v02,NO_FILE,,No XLSX file found in 353_parity_bnd_141_use_tp_in_virtual_v02/
354,parity_core_142_use_be_in_virtual_v01,PASS,PASS,
355,parity_bnd_142_use_be_in_virtual_v02,NO_FILE,,No XLSX file found in 355_parity_bnd_142_use_be_in_virtual_v02/
356,parity_core_143_use_trailing_in_virtual_v01,NO_FILE,,No XLSX file found in 356_parity_core_143_use_trailing_in_virtual_v01/
357,parity_bnd_143_use_trailing_in_virtual_v02,NO_FILE,,No XLSX file found in 357_parity_bnd_143_use_trailing_in_virtual_v02/
358,parity_core_144_close_on_opposite_signal_v01,NO_FILE,,No XLSX file found in 358_parity_core_144_close_on_opposite_signal_v01/
359,parity_bnd_144_close_on_opposite_signal_v02,NO_FILE,,No XLSX file found in 359_parity_bnd_144_close_on_opposite_signal_v02/
360,parity_core_193_enable_macd_filter_hub_v01,NO_FILE,,No XLSX file found in 360_parity_core_193_enable_macd_filter_hub_v01/
361,parity_bnd_193_enable_macd_filter_hub_v02,PASS,PASS,
362,parity_core_194_mode_v01,PASS,PASS,
363,parity_bnd_194_mode_v02,PASS,PASS,
364,parity_core_195_source_v01,NO_FILE,,No XLSX file found in 364_parity_core_195_source_v01/
365,parity_bnd_195_source_v02,PASS,PASS,
366,parity_core_196_fast_v01,NO_FILE,,No XLSX file found in 366_parity_core_196_fast_v01/
367,parity_bnd_196_fast_v02,PASS,PASS,
368,parity_bnd_196_fast_v03,PASS,PASS,
369,parity_core_197_slow_v01,NO_FILE,,No XLSX file found in 369_parity_core_197_slow_v01/
370,parity_bnd_197_slow_v02,PASS,PASS,
371,parity_bnd_197_slow_v03,PASS,PASS,
372,parity_core_198_signal_v01,NO_FILE,,No XLSX file found in 372_parity_core_198_signal_v01/
373,parity_bnd_198_signal_v02,PASS,PASS,
374,parity_bnd_198_signal_v03,PASS,PASS,
375,parity_core_199_regime_line_0_long_0_short_v01,PASS,PASS,
376,parity_bnd_199_regime_line_0_long_0_short_v02,PASS,PASS,
377,parity_core_200_crossstate_line_signal_long_signal_short_v01,NO_FILE,,No XLSX file found in 377_parity_core_200_crossstate_line_signal_long_signal_short_v01/
378,parity_bnd_200_crossstate_line_signal_long_signal_short_v02,PASS,PASS,
379,parity_core_201_histogram_gate_v01,NO_FILE,,No XLSX file found in 379_parity_core_201_histogram_gate_v01/
380,parity_bnd_201_histogram_gate_v02,PASS,PASS,
381,parity_core_202_hist_mode_v01,NO_FILE,,No XLSX file found in 381_parity_core_202_hist_mode_v01/
382,parity_bnd_202_hist_mode_v02,PASS,PASS,
383,parity_core_203_zero_line_distance_gate_v01,NO_FILE,,No XLSX file found in 383_parity_core_203_zero_line_distance_gate_v01/
384,parity_bnd_203_zero_line_distance_gate_v02,PASS,PASS,
385,parity_core_204_min_distance_0_no_effect_v01,PASS,PASS,
386,parity_bnd_204_min_distance_0_no_effect_v02,PASS,PASS,
387,parity_bnd_204_min_distance_0_no_effect_v03,NO_FILE,,No XLSX file found in 387_parity_bnd_204_min_distance_0_no_effect_v03/
388,parity_core_205_htf_bias_regime_v01,NO_FILE,,No XLSX file found in 388_parity_core_205_htf_bias_regime_v01/
389,parity_bnd_205_htf_bias_regime_v02,PASS,PASS,
390,parity_core_206_htf_timeframe_v01,NO_FILE,,No XLSX file found in 390_parity_core_206_htf_timeframe_v01/
391,parity_bnd_206_htf_timeframe_v02,PASS,PASS,
392,parity_bnd_206_htf_timeframe_v03,PASS,PASS,
393,parity_core_207_apply_htf_regime_sign_v01,NO_FILE,,No XLSX file found in 393_parity_core_207_apply_htf_regime_sign_v01/
394,parity_bnd_207_apply_htf_regime_sign_v02,PASS,PASS,
395,parity_core_209_use_confirmation_swing_break_momentum_v01,PASS,PASS,
396,parity_bnd_209_use_confirmation_swing_break_momentum_v02,NO_FILE,,No XLSX file found in 396_parity_bnd_209_use_confirmation_swing_break_momentum_v02/
397,parity_core_210_swing_left_bars_v01,PASS,PASS,
398,parity_bnd_210_swing_left_bars_v02,PASS,PASS,
399,parity_bnd_210_swing_left_bars_v03,PASS,PASS,
400,parity_core_211_swing_right_bars_v01,NO_FILE,,No XLSX file found in 400_parity_core_211_swing_right_bars_v01/
401,parity_bnd_211_swing_right_bars_v02,PASS,PASS,
402,parity_bnd_211_swing_right_bars_v03,PASS,PASS,
403,parity_core_212_require_close_beyond_swing_else_wick_v01,NO_FILE,,No XLSX file found in 403_parity_core_212_require_close_beyond_swing_else_wick_v01/
404,parity_bnd_212_require_close_beyond_swing_else_wick_v02,PASS,PASS,
405,parity_core_213_max_bars_to_wait_timeout_v01,NO_FILE,,No XLSX file found in 405_parity_core_213_max_bars_to_wait_timeout_v01/
406,parity_bnd_213_max_bars_to_wait_timeout_v02,FAIL,PASS,Range: Trading range parse failed: '—'
407,parity_bnd_213_max_bars_to_wait_timeout_v03,PASS,PASS,
408,parity_core_214_min_bars_to_wait_after_raw_v01,NO_FILE,,No XLSX file found in 408_parity_core_214_min_bars_to_wait_after_raw_v01/
409,parity_bnd_214_min_bars_to_wait_after_raw_v02,PASS,PASS,
410,parity_bnd_214_min_bars_to_wait_after_raw_v03,NO_FILE,,No XLSX file found in 410_parity_bnd_214_min_bars_to_wait_after_raw_v03/
411,parity_core_215_apply_confirmation_only_when_flat_v01,NO_FILE,,No XLSX file found in 411_parity_core_215_apply_confirmation_only_when_flat_v01/
412,parity_bnd_215_apply_confirmation_only_when_flat_v02,PASS,PASS,
413,parity_core_216_update_swing_level_while_waiting_dynamic_v01,NO_FILE,,No XLSX file found in 413_parity_core_216_update_swing_level_while_waiting_dynamic_v01/
414,parity_bnd_216_update_swing_level_while_waiting_dynamic_v02,PASS,PASS,
415,parity_core_217_dynamic_update_mode_v01,PASS,PASS,
416,parity_bnd_217_dynamic_update_mode_v02,PASS,PASS,
417,parity_core_218_if_dynamic_updates_level_this_bar_defer_br_v01,NO_FILE,,No XLSX file found in 417_parity_core_218_if_dynamic_updates_level_this_bar_defer_br_v01/
418,parity_bnd_218_if_dynamic_updates_level_this_bar_defer_br_v02,PASS,PASS,
419,parity_core_219_if_new_raw_event_arrives_refresh_level_tim_v01,NO_FILE,,No XLSX file found in 419_parity_core_219_if_new_raw_event_arrives_refresh_level_tim_v01/
420,parity_bnd_219_if_new_raw_event_arrives_refresh_level_tim_v02,PASS,PASS,
421,parity_core_220_raw_event_mode_v01,NO_FILE,,No XLSX file found in 421_parity_core_220_raw_event_mode_v01/
422,parity_bnd_220_raw_event_mode_v02,PASS,PASS,
423,parity_core_221_if_long_short_raw_same_bar_v01,NO_FILE,,No XLSX file found in 423_parity_core_221_if_long_short_raw_same_bar_v01/
424,parity_bnd_221_if_long_short_raw_same_bar_v02,PASS,PASS,
425,parity_bnd_221_if_long_short_raw_same_bar_v03,PASS,PASS,
426,parity_core_222_bar_close_only_barstate_isconfirmed_v01,NO_FILE,,No XLSX file found in 426_parity_core_222_bar_close_only_barstate_isconfirmed_v01/
427,parity_bnd_222_bar_close_only_barstate_isconfirmed_v02,PASS,PASS,
428,parity_core_223_require_raw_still_true_at_confirmation_v01,NO_FILE,,No XLSX file found in 428_parity_core_223_require_raw_still_true_at_confirmation_v01/
429,parity_bnd_223_require_raw_still_true_at_confirmation_v02,PASS,PASS,
430,parity_core_224_break_buffer_ticks_v01,PASS,PASS,
431,parity_bnd_224_break_buffer_ticks_v02,PASS,PASS,
432,parity_bnd_224_break_buffer_ticks_v03,PASS,PASS,
433,parity_core_225_max_swing_distance_0_off_v01,PASS,PASS,
434,parity_bnd_225_max_swing_distance_0_off_v02,PASS,PASS,
435,parity_bnd_225_max_swing_distance_0_off_v03,NO_FILE,,No XLSX file found in 435_parity_bnd_225_max_swing_distance_0_off_v03/
436,parity_core_226_max_pivot_age_bars_0_off_v01,PASS,PASS,
437,parity_bnd_226_max_pivot_age_bars_0_off_v02,PASS,PASS,
438,parity_bnd_226_max_pivot_age_bars_0_off_v03,NO_FILE,,No XLSX file found in 438_parity_bnd_226_max_pivot_age_bars_0_off_v03/
439,parity_core_227_use_momentum_filter_v01,NO_FILE,,No XLSX file found in 439_parity_core_227_use_momentum_filter_v01/
440,parity_bnd_227_use_momentum_filter_v02,NO_FILE,,No XLSX file found in 440_parity_bnd_227_use_momentum_filter_v02/
441,parity_core_228_momentum_mode_v01,NO_FILE,,No XLSX file found in 441_parity_core_228_momentum_mode_v01/
442,parity_bnd_228_momentum_mode_v02,NO_FILE,,No XLSX file found in 442_parity_bnd_228_momentum_mode_v02/
443,parity_core_229_atr_len_v01,NO_FILE,,No XLSX file found in 443_parity_core_229_atr_len_v01/
444,parity_bnd_229_atr_len_v02,NO_FILE,,No XLSX file found in 444_parity_bnd_229_atr_len_v02/
445,parity_bnd_229_atr_len_v03,NO_FILE,,No XLSX file found in 445_parity_bnd_229_atr_len_v03/
446,parity_core_230_atr_body_mult_v01,NO_FILE,,No XLSX file found in 446_parity_core_230_atr_body_mult_v01/
447,parity_bnd_230_atr_body_mult_v02,NO_FILE,,No XLSX file found in 447_parity_bnd_230_atr_body_mult_v02/
448,parity_bnd_230_atr_body_mult_v03,NO_FILE,,No XLSX file found in 448_parity_bnd_230_atr_body_mult_v03/
449,parity_core_231_roc_1_min_0_15_0_15_v01,NO_FILE,,No XLSX file found in 449_parity_core_231_roc_1_min_0_15_0_15_v01/
450,parity_bnd_231_roc_1_min_0_15_0_15_v02,NO_FILE,,No XLSX file found in 450_parity_bnd_231_roc_1_min_0_15_0_15_v02/
451,parity_bnd_231_roc_1_min_0_15_0_15_v03,NO_FILE,,No XLSX file found in 451_parity_bnd_231_roc_1_min_0_15_0_15_v03/
452,parity_core_232_use_session_filter_v01,NO_FILE,,No XLSX file found in 452_parity_core_232_use_session_filter_v01/
453,parity_bnd_232_use_session_filter_v02,NO_FILE,,No XLSX file found in 453_parity_bnd_232_use_session_filter_v02/
454,parity_core_233_session_v01,NO_FILE,,No XLSX file found in 454_parity_core_233_session_v01/
455,parity_bnd_233_session_v02,NO_FILE,,No XLSX file found in 455_parity_bnd_233_session_v02/
456,parity_core_248_commission_v01,NO_FILE,,No XLSX file found in 456_parity_core_248_commission_v01/
457,parity_core_249_slippage_v01,NO_FILE,,No XLSX file found in 457_parity_core_249_slippage_v01/
